2023-03-26 02:05:57,350 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-03-26 02:05:57,365 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-03-26 02:05:57,366 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-03-26 02:05:57,366 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-03-26 02:05:57,367 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-03-26 02:05:57,368 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-03-26 02:05:57,368 INFO  SwAddin.cs: 201 - Setting up command manager
2023-03-26 02:05:57,369 INFO  SwAddin.cs: 204 - Adding command manager
2023-03-26 02:05:57,370 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-03-26 02:05:57,371 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-03-26 02:05:57,371 INFO  SwAddin.cs: 210 - Adding event handlers
2023-03-26 02:05:57,372 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-03-26 02:14:58,863 INFO  SwAddin.cs: 294 - Assembly export called for file Robot_Assembly.SLDASM
2023-03-26 02:15:00,336 INFO  SwAddin.cs: 313 - Saving assembly
2023-03-26 02:15:00,983 INFO  SwAddin.cs: 316 - Opening property manager
2023-03-26 02:15:00,991 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Robot_Assembly.SLDASM
2023-03-26 02:15:00,993 INFO  ExportHelperExtension.cs: 1136 - Found 41 in Robot_Assembly.SLDASM
2023-03-26 02:15:00,994 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Robot_Assembly.SLDASM
2023-03-26 02:15:00,994 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-03-26 02:15:00,995 INFO  ExportHelperExtension.cs: 1160 - 7 components to check
2023-03-26 02:15:00,996 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from BASE-1
2023-03-26 02:15:00,996 INFO  ExportHelperExtension.cs: 1136 - Found 36 in BASE-1
2023-03-26 02:15:00,997 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in BASE-1
2023-03-26 02:15:00,997 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Link_5-1
2023-03-26 02:15:00,997 INFO  ExportHelperExtension.cs: 1136 - Found 36 in Link_5-1
